Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
1.98,75.18,64.09,55.75,27.16
2.0,75.27,66.57,56.38,28.13
2.02,75.22,69.0,54.92,27.01
2.03,75.21,66.33,55.45,27.93
2.05,75.33,68.82,56.11,27.31
2.07,75.23,67.04,55.99,28.48
2.08,75.27,69.49,56.57,26.26
2.1,75.18,64.26,54.09,27.4
2.12,75.3,66.73,54.75,27.88
2.13,75.35,69.23,55.34,26.69
2.15,75.26,65.33,55.78,27.76
2.17,75.35,67.8,56.41,28.82
2.18,75.3,70.22,54.79,24.87
2.2,75.36,61.31,55.39,25.81
2.22,75.37,63.78,55.95,27.07
2.23,75.21,66.17,56.32,28.07
2.25,75.32,68.65,55.34,27.44
2.27,75.38,67.8,55.94,28.55
2.28,75.27,70.22,56.37,24.86
2.3,75.36,61.33,55.1,25.94
2.32,75.3,63.76,55.58,26.99
2.33,75.32,66.22,56.14,27.85
2.35,75.35,68.69,55.99,27.6
2.37,75.28,67.57,56.45,28.52
2.38,75.37,70.05,54.78,25.34
2.4,75.3,61.96,55.25,26.22
2.42,75.36,64.43,55.84,27.42
2.43,75.33,66.86,56.35,28.29
2.45,75.22,69.27,54.99,26.29
2.47,75.24,65.24,55.55,27.77
2.48,75.32,67.7,56.17,28.84
2.5,75.37,70.15,55.88,25.04
2.52,75.28,61.55,56.33,26.32
2.53,75.51,64.04,55.4,27.0
2.55,75.44,66.48,55.87,27.97
2.57,75.39,68.92,56.36,27.04
2.58,75.34,66.65,55.01,28.02
2.6,75.35,69.12,55.56,26.59
2.62,75.31,65.83,56.07,27.61
2.63,75.27,68.29,56.21,28.28
2.65,75.25,69.24,55.65,26.58
2.67,75.37,65.38,56.31,27.45
2.68,75.3,67.82,55.19,28.5
2.7,75.34,70.3,55.78,25.07
2.72,75.36,60.93,56.33,25.57
2.73,75.39,63.42,55.21,27.09
2.75,75.38,65.84,55.73,27.97
2.77,75.39,68.28,56.28,28.25
2.78,75.28,69.26,55.27,26.81
2.8,75.17,65.2,55.7,27.42
2.82,75.36,67.72,56.43,28.59
2.83,75.28,70.14,54.68,25.17
2.85,75.35,61.63,55.29,26.21
2.87,75.48,64.11,55.96,27.08
2.88,75.4,66.54,56.42,27.99
2.9,75.37,68.99,54.77,26.94
2.92,75.32,66.36,55.27,27.97
2.93,75.43,68.85,55.91,27.28
2.95,75.43,66.94,56.45,28.56
2.97,75.52,69.39,54.77,26.44
2.98,75.43,64.68,55.22,27.28
3.0,75.47,67.15,55.8,28.59
3.02,75.27,69.52,56.14,26.08
3.03,75.36,64.2,56.04,27.15
3.05,75.35,66.65,56.37,28.05
3.07,75.34,69.11,55.0,26.61
3.08,75.61,65.97,55.82,27.91
3.1,75.2,68.29,55.94,28.27
3.12,75.35,69.3,56.64,26.29
3.13,75.47,65.13,54.01,27.54
3.15,75.2,67.51,54.29,28.42
3.17,75.43,70.03,55.06,25.21
3.18,75.49,62.1,55.66,26.24
3.2,75.31,64.5,56.01,27.34
3.22,75.3,66.94,56.5,28.45
3.23,75.43,69.41,54.59,26.05
3.25,75.44,64.66,55.15,27.36
3.27,75.31,67.07,55.56,28.19
3.28,75.31,69.53,56.1,26.04
3.3,75.5,64.2,56.32,27.32
3.32,75.42,66.61,55.13,28.23
3.33,75.34,69.03,55.59,26.76
3.35,75.18,66.17,55.97,27.96
3.37,75.37,68.68,56.7,27.61
3.38,75.46,67.67,53.74,28.59
3.4,75.34,70.08,54.16,25.24
3.42,75.33,61.85,54.69,26.25
3.43,75.43,64.33,55.33,27.18
3.45,75.39,66.77,55.82,28.41
3.47,75.45,69.22,56.42,26.53
3.48,75.29,65.38,54.65,27.62
3.5,75.57,67.91,55.46,28.72
3.52,75.41,70.31,55.85,24.96
3.53,75.32,60.86,56.28,25.84
3.55,75.39,63.33,55.47,26.73
3.57,75.37,65.78,55.98,27.96
3.58,75.35,68.21,56.5,28.38
3.6,75.28,69.57,54.4,26.12
3.62,75.36,63.98,55.02,27.25
3.63,75.25,66.38,55.45,27.82
3.65,75.41,68.9,56.15,26.92
3.67,75.4,66.76,55.92,28.28
3.68,75.47,69.22,56.52,26.61
3.7,75.48,65.42,54.4,27.64
3.72,75.31,67.82,54.77,28.65
3.73,75.48,70.32,55.48,24.92
3.75,75.43,60.84,55.97,25.79
3.77,75.43,63.29,56.5,26.71
3.78,75.44,65.75,54.5,27.88
3.8,75.34,68.16,54.93,28.48
3.82,75.42,69.81,55.54,25.59
3.83,75.49,63.01,56.16,26.69
3.85,75.49,65.45,55.87,27.5
3.87,75.55,67.94,56.48,28.85
3.88,75.36,70.32,54.37,24.82
3.9,75.43,60.88,54.97,25.82
3.92,75.33,63.3,55.41,26.92
3.93,75.41,65.77,56.02,27.86
3.95,75.43,68.21,56.48,28.25
3.97,75.32,69.57,54.45,26.02
3.98,90.29,90.09,100.29,0.48
4.0,90.49,90.15,100.49,0.48
4.02,90.42,90.13,100.42,0.48
4.03,90.33,90.1,100.33,0.48
4.05,90.33,90.1,100.33,0.48
4.07,90.36,90.11,100.36,0.48
4.08,90.37,90.11,100.37,0.48
4.1,90.27,90.08,100.27,0.48
4.12,90.42,90.13,100.42,0.48
4.13,90.41,90.12,100.41,0.48
4.15,90.44,90.13,100.44,0.48
4.17,90.37,90.11,100.37,0.48
4.18,90.53,90.16,100.53,0.48
4.2,90.53,90.16,100.53,0.48
4.22,90.37,90.11,100.37,0.48
4.23,90.43,90.13,100.43,0.48
4.25,90.45,90.14,100.45,0.48
4.27,90.48,90.14,100.48,0.48
4.28,90.4,90.12,100.4,0.48
4.3,90.32,90.1,100.32,0.48
4.32,90.32,90.1,100.32,0.48
4.33,90.41,90.12,100.41,0.48
4.35,90.33,90.1,100.33,0.48
4.37,90.34,90.1,100.34,0.48
4.38,90.41,90.12,100.41,0.48
4.4,90.45,90.13,100.45,0.48
4.42,90.4,90.12,100.4,0.48
4.43,90.36,90.11,100.36,0.48
4.45,90.49,90.15,100.49,0.48
4.47,90.44,90.13,100.44,0.48
4.48,90.28,90.08,100.28,0.48
4.5,90.4,90.12,100.4,0.48
4.52,90.55,90.17,100.55,0.48
4.53,90.35,90.1,100.35,0.48
4.55,90.28,90.08,100.28,0.48
4.57,90.56,90.17,100.56,0.48
4.58,90.57,90.17,100.57,0.48
4.6,90.41,90.12,100.41,0.49
4.62,90.4,90.12,100.4,0.48
4.63,90.36,90.11,100.36,0.48
4.65,90.27,90.08,100.27,0.48
4.67,90.43,90.13,100.43,0.48
4.68,90.38,90.12,100.38,0.48
4.7,90.37,90.11,100.37,0.48
4.72,90.41,90.12,100.41,0.48
4.73,90.3,90.09,100.3,0.48
4.75,90.31,90.09,100.31,0.48
4.77,90.28,90.08,100.28,0.48
4.78,90.33,90.1,100.33,0.48
4.8,90.39,90.12,100.39,0.48
4.82,90.37,90.11,100.37,0.48
4.83,90.42,90.13,100.42,0.48
4.85,90.32,90.1,100.32,0.48
4.87,90.3,90.09,100.3,0.48
4.88,90.38,90.11,100.38,0.48
4.9,90.33,90.1,100.33,0.48
4.92,90.3,90.09,100.3,0.48
4.93,90.33,90.1,100.33,0.48
4.95,90.42,90.13,100.42,0.49
4.97,90.28,90.08,100.28,0.48
4.98,90.33,90.1,100.33,0.48
5.0,90.29,90.09,100.29,0.48
5.02,90.21,90.06,100.21,0.48
5.03,90.3,90.09,100.3,0.48
5.05,90.46,90.14,100.46,0.48
5.07,90.33,90.1,100.33,0.48
5.08,90.34,90.1,100.34,0.48
5.1,90.34,90.1,100.34,0.48
5.12,90.39,90.12,100.39,0.48
5.13,90.28,90.09,100.28,0.48
5.15,90.33,90.1,100.33,0.48
5.17,90.32,90.1,100.32,0.48
5.18,90.39,90.12,100.39,0.48
5.2,90.39,90.12,100.39,0.48
5.22,90.38,90.11,100.38,0.48
5.23,90.37,90.11,100.37,0.48
5.25,90.4,90.12,100.4,0.48
5.27,90.37,90.11,100.37,0.48
5.28,90.34,90.1,100.34,0.48
5.3,90.24,90.07,100.24,0.48
5.32,90.42,90.13,100.42,0.48
5.33,90.28,90.09,100.28,0.48
5.35,90.4,90.12,100.4,0.48
5.37,90.37,90.11,100.37,0.48
5.38,90.22,90.07,100.22,0.48
5.4,90.3,90.09,100.3,0.48
5.42,90.33,90.1,100.33,0.49
5.43,90.46,90.14,100.46,0.48
5.45,90.37,90.11,100.37,0.48
5.47,90.31,90.09,100.31,0.48
5.48,90.23,90.07,100.23,0.48
5.5,90.28,90.08,100.28,0.48
5.52,90.44,90.13,100.44,0.48
5.53,90.39,90.12,100.39,0.48
5.55,90.42,90.13,100.42,0.48
5.57,90.29,90.09,100.29,0.48
5.58,90.2,90.06,100.2,0.48
5.6,90.3,90.09,100.3,0.48
5.62,90.39,90.12,100.39,0.48
5.63,90.26,90.08,100.26,0.48
5.65,90.3,90.09,100.3,0.48
5.67,90.23,90.07,100.23,0.49
5.68,90.24,90.07,100.24,0.48
5.7,90.29,90.09,100.29,0.48
5.72,90.3,90.09,100.3,0.48
5.73,90.25,90.07,100.25,0.48
5.75,90.46,90.14,100.46,0.48
5.77,90.29,90.09,100.29,0.48
5.78,90.41,90.12,100.41,0.48
5.8,90.29,90.09,100.29,0.48
5.82,90.23,90.07,100.23,0.48
5.83,90.17,90.05,100.17,0.48
5.85,90.31,90.09,100.31,0.48
5.87,90.25,90.08,100.25,0.48
5.88,90.34,90.1,100.34,0.48
5.9,90.33,90.1,100.33,0.48
5.92,90.2,90.06,100.2,0.48
5.93,90.09,90.03,100.09,0.48
5.95,90.33,90.1,100.33,0.48
5.97,90.17,90.05,100.17,0.48
5.98,90.31,90.09,100.31,0.48
6.0,90.25,90.08,100.25,0.48
6.02,89.19,88.59,97.26,0.48
6.03,88.3,87.16,94.44,0.48
6.05,87.25,85.68,91.45,0.48
6.07,86.26,84.21,88.53,1.41
6.08,85.35,82.77,85.69,3.85
6.1,84.23,81.27,82.63,6.41
6.12,83.36,79.84,79.83,8.72
6.13,82.28,78.35,76.81,11.33
6.15,81.32,76.9,73.92,13.69
6.17,80.23,75.4,70.9,16.11
6.18,79.3,73.96,68.03,18.58
6.2,78.37,72.51,65.17,21.17
6.22,77.14,70.98,62.01,23.83
6.23,76.22,69.53,59.15,26.38
6.25,75.29,68.09,56.29,28.45
6.27,75.26,70.08,55.31,25.1
6.28,75.19,61.85,55.78,26.3
6.3,75.32,64.33,56.45,27.44
6.32,75.19,66.72,54.55,28.04
6.33,75.4,69.25,55.3,26.47
6.35,75.34,65.28,55.78,27.82
6.37,75.26,67.69,56.24,28.71
6.38,75.3,70.14,55.59,24.99
6.4,75.19,61.6,56.02,26.16
6.42,75.28,64.07,56.55,27.03
6.43,75.21,66.5,54.19,28.0
6.45,75.18,68.96,54.7,27.07
6.47,75.12,66.47,55.18,28.16
6.48,75.24,68.95,55.84,26.9
6.5,75.14,66.52,56.29,28.02
6.52,75.03,68.95,55.23,27.23
6.53,75.19,66.57,55.93,27.97
6.55,75.21,69.04,56.49,26.96
6.57,75.2,66.15,54.5,27.81
6.58,75.39,68.68,55.24,27.55
6.6,75.26,67.6,55.65,28.58
6.62,75.19,70.03,56.11,25.39
6.63,75.26,62.08,56.15,26.07
6.65,75.27,64.55,55.94,27.29
6.67,75.29,67.01,56.51,28.31
6.68,75.3,69.47,54.44,25.99
6.7,75.22,64.38,54.9,27.26
6.72,75.04,66.77,55.26,28.34
6.73,75.11,69.23,55.86,26.71
6.75,75.09,65.37,56.38,27.44
6.77,75.11,67.84,55.0,28.64
6.78,75.26,70.34,55.69,24.74
6.8,75.11,60.75,56.07,25.73
6.82,75.23,63.24,56.38,26.8
6.83,75.09,65.65,54.83,27.68
6.85,75.27,68.16,55.55,28.62
6.87,75.18,69.75,55.99,25.81
6.88,75.02,63.17,56.38,26.75
6.9,75.25,65.69,55.2,27.53
6.92,75.23,68.16,55.71,28.45
6.93,75.2,69.78,56.23,25.73
6.95,75.19,63.1,55.58,26.52
6.97,75.13,65.55,56.06,27.67
6.98,75.13,68.01,56.29,28.8
7.0,75.16,70.41,55.37,24.52
7.02,75.21,60.53,55.97,25.59
7.03,75.11,62.96,56.41,26.68
7.05,75.19,65.43,54.93,27.8
7.07,75.1,67.84,55.37,28.52
7.08,75.01,70.28,55.82,24.81
7.1,75.0,61.05,56.36,26.03
7.12,75.19,63.54,55.23,26.77
7.13,75.16,66.0,55.74,27.92
7.15,75.07,68.42,56.2,28.18
7.17,75.07,68.7,55.71,27.56
7.18,75.18,67.6,56.36,28.54
7.2,75.16,70.04,55.03,25.14
7.22,75.21,62.06,55.62,26.38
7.23,75.08,64.46,56.02,27.09
7.25,75.17,66.96,56.56,28.38
7.27,75.04,69.36,54.09,26.48
7.28,75.08,64.85,54.68,27.42
7.3,75.08,67.3,55.21,28.41
7.32,75.17,69.78,55.84,25.67
7.33,75.05,63.08,56.27,26.94
7.35,75.1,65.52,55.46,27.59
7.37,75.04,67.97,55.94,28.96
7.38,75.14,70.43,56.57,24.67
7.4,75.06,60.39,54.11,25.87
7.42,75.03,62.81,54.62,26.55
7.43,75.1,65.28,55.23,27.52
7.45,75.04,67.73,55.71,28.61
7.47,75.12,70.2,56.33,25.15
7.48,74.95,61.31,55.01,26.21
7.5,75.04,63.77,55.63,26.93
7.52,75.1,66.24,56.23,28.19
7.53,75.12,68.68,55.6,27.81
7.55,75.01,67.59,56.03,28.54
7.57,74.95,70.03,56.36,25.29
7.58,75.17,62.14,55.27,26.25
7.6,74.93,64.53,55.57,27.46
7.62,74.95,66.97,56.12,28.37
7.63,75.04,69.44,56.14,26.29
7.65,74.91,64.47,55.83,27.4
7.67,74.98,66.94,56.44,28.15
7.68,75.07,69.43,54.81,26.38
7.7,75.0,64.52,55.28,27.47
7.72,75.07,66.98,55.89,28.07
7.73,74.91,69.4,56.27,26.36
7.75,75.1,64.74,55.62,27.11
7.77,74.99,67.18,56.05,28.47
7.78,74.89,69.6,56.24,26.2
7.8,74.97,63.85,55.62,27.14
7.82,74.85,66.26,56.04,27.9
7.83,74.96,68.76,56.48,27.48
7.85,75.01,67.33,54.62,28.37
7.87,74.94,69.77,55.08,25.8
7.88,74.93,63.13,55.62,26.7
7.9,75.1,65.64,56.32,27.68
7.92,75.01,68.07,55.13,28.55
7.93,74.97,70.16,55.64,25.1
7.95,75.0,61.54,56.21,26.16
7.97,74.94,63.97,55.6,27.11
7.98,74.99,66.44,56.2,28.22
8.0,74.95,68.86,55.66,27.25
8.02,75.02,66.93,56.28,28.33
8.03,74.9,69.34,55.25,26.38
8.05,74.88,64.93,55.77,27.69
8.07,74.8,67.34,56.23,28.51
8.08,75.04,69.86,55.84,25.64
8.1,75.04,62.77,56.38,26.63
8.12,75.04,65.21,54.96,27.77
8.13,75.0,67.64,55.46,28.46
8.15,74.73,70.02,55.73,25.36
8.17,74.9,62.16,56.44,26.49
8.18,74.81,64.57,54.63,27.25
8.2,74.89,67.06,55.25,28.23
8.22,74.74,69.48,55.65,26.38
8.23,74.8,64.35,56.24,27.27
8.25,74.97,66.85,55.72,27.99
8.27,74.92,69.31,56.21,26.63
8.28,74.94,65.04,55.7,27.27
8.3,74.98,67.53,56.28,28.79
8.32,74.95,69.95,55.35,25.6
8.33,75.09,62.43,56.02,26.48
8.35,74.95,64.84,56.31,27.27
8.37,74.98,67.32,55.3,28.67
8.38,74.98,69.75,55.84,25.7
8.4,74.95,63.23,56.35,26.72
8.42,75.0,65.7,55.15,27.82
8.43,74.82,68.1,55.51,28.55
8.45,74.9,70.06,56.12,25.47
8.47,74.94,61.94,56.09,26.1
8.48,74.87,64.39,56.1,27.08
8.5,75.01,66.9,56.27,28.34
8.52,74.81,69.29,55.22,26.54
8.53,74.96,65.17,55.91,27.65
8.55,74.87,67.59,56.35,28.63
8.57,74.97,70.07,55.2,25.49
8.58,75.04,61.9,55.81,26.51
8.6,74.86,64.27,56.16,27.3
8.62,74.73,66.68,55.75,28.28
8.63,75.0,69.21,56.55,26.67
8.65,74.75,65.38,54.02,27.79
8.67,74.99,67.9,54.81,28.74
8.68,74.98,70.34,55.33,24.88
8.7,75.01,60.79,55.89,25.71
8.72,74.94,63.23,56.37,26.95
8.73,74.82,65.64,54.89,27.72
8.75,74.9,68.12,55.51,28.66
8.77,74.8,69.91,55.94,25.42
8.78,74.93,62.62,56.62,26.51
8.8,74.78,65.03,53.83,27.58
8.82,74.8,67.49,54.39,28.52
8.83,74.94,69.98,55.07,25.32
8.85,74.85,62.26,55.52,26.28
8.87,74.77,64.7,55.98,27.42
8.88,74.78,67.15,56.53,28.71
8.9,74.83,69.59,54.4,26.11
8.92,74.82,63.88,54.92,27.01
8.93,74.87,66.36,55.51,28.09
8.95,74.78,68.78,55.97,27.53
8.97,74.82,67.24,56.54,28.68
8.98,74.81,69.67,54.29,25.94
9.0,74.82,63.56,54.85,27.16
9.02,74.76,65.97,55.32,28.16
9.03,74.89,68.44,55.98,27.82
9.05,74.96,68.67,56.6,27.65
9.07,74.88,67.66,53.98,28.53
9.08,74.73,70.08,54.37,25.22
9.1,74.78,61.88,54.97,26.37
9.12,74.89,64.35,55.6,27.34
9.13,74.6,66.71,55.86,28.37
9.15,74.78,69.21,56.57,26.59
9.17,74.63,65.42,54.04,27.72
9.18,74.96,67.97,54.91,28.64
9.2,74.91,70.42,55.41,24.54
9.22,74.8,60.44,55.83,25.68
9.23,74.85,62.9,56.43,26.76
9.25,74.84,65.35,54.75,27.77
9.27,74.78,67.77,55.22,28.6
9.28,74.75,70.22,55.73,25.07
9.3,74.92,61.33,56.44,26.07
9.32,74.87,63.76,54.68,26.8
9.33,74.75,66.2,55.1,28.12
9.35,74.87,68.68,55.76,27.46
9.37,74.82,67.64,56.25,28.47
9.38,74.78,70.09,55.47,25.15
9.4,74.71,61.81,55.94,26.21
9.42,74.77,64.29,56.54,27.46
9.43,74.9,66.76,54.43,28.09
9.45,74.75,69.18,54.83,27.04
9.47,74.8,65.57,55.41,27.68
9.48,74.76,68.02,55.92,28.8
9.5,74.7,70.34,56.4,24.87
9.52,74.71,60.79,54.89,25.81
9.53,74.82,63.28,55.54,27.07
9.55,74.72,65.68,55.98,27.91
9.57,74.73,68.12,56.52,28.66
9.58,74.71,69.94,54.37,25.35
9.6,74.81,62.49,55.01,26.48
9.62,74.84,64.96,55.59,27.82
9.63,74.75,67.35,56.02,28.6
9.65,74.91,69.85,56.63,25.71
9.67,74.89,62.79,53.9,26.55
9.68,74.76,65.21,54.32,27.37
9.7,74.54,67.62,54.64,28.79
9.72,74.64,70.09,55.28,25.19
9.73,74.66,61.84,55.84,26.34
9.75,74.66,64.28,56.38,27.21
9.77,74.72,66.75,55.03,28.1
9.78,74.57,69.18,55.42,26.66
9.8,74.76,65.65,56.15,27.82
9.82,74.82,68.12,55.99,28.62
9.83,74.59,69.88,56.3,25.51
9.85,74.8,62.76,55.5,26.84
9.87,74.66,65.15,55.9,27.66
9.88,74.73,67.62,56.51,28.62
9.9,74.53,70.01,54.23,25.48
9.92,74.81,62.23,55.05,26.62
9.93,74.69,64.62,55.47,27.33
9.95,74.8,67.11,56.12,28.37
9.97,74.82,69.57,56.06,26.1
9.98,74.66,63.93,56.13,27.25
10.0,74.8,66.41,56.14,27.87
10.02,74.75,68.87,55.92,27.37
10.03,74.66,66.82,56.37,28.22
10.05,74.55,69.25,54.9,26.8
10.07,74.75,65.34,55.63,27.69
10.08,74.66,67.76,56.09,28.66
10.1,74.82,70.26,56.33,24.9
10.12,74.55,61.05,54.91,25.79
10.13,74.68,63.55,55.57,26.97
10.15,74.67,66.0,56.11,27.81
10.17,74.67,68.47,56.08,28.04
10.18,74.51,68.46,56.06,28.06
10.2,74.64,68.58,56.41,27.91
10.22,74.71,68.07,54.92,28.79
10.23,74.61,70.12,55.35,25.26
10.25,74.44,61.65,55.73,26.46
10.27,74.97,64.23,56.79,27.27
10.28,74.61,66.57,52.91,28.32
10.3,74.68,69.03,53.52,27.27
10.32,74.69,66.18,54.06,28.05
10.33,74.59,68.6,54.5,27.96
10.35,74.58,67.96,55.03,28.69
10.37,74.61,70.42,55.6,24.77
10.38,74.7,60.48,56.23,25.76
10.4,74.63,62.91,55.52,26.75
10.42,74.6,65.35,56.03,27.84
10.43,74.57,67.78,56.37,28.84
10.45,74.72,70.26,55.16,25.11
10.47,74.72,61.11,55.7,25.73
10.48,74.59,63.54,56.12,26.98
10.5,74.56,65.99,56.01,28.02
10.52,74.73,68.48,56.66,28.09
10.53,74.74,68.47,53.83,28.09
10.55,74.73,68.49,54.35,28.08
10.57,74.71,68.41,54.87,28.12
10.58,74.59,68.72,55.29,27.62
10.6,74.74,67.52,55.98,28.61
10.62,74.68,69.95,56.46,25.5
10.63,74.54,62.36,54.5,26.56
10.65,74.74,64.87,55.24,27.28
10.67,74.64,67.31,55.68,28.57
10.68,74.65,69.76,56.23,25.77
10.7,74.65,63.18,55.58,26.81
10.72,74.78,65.68,56.26,27.98
10.73,74.64,68.07,55.32,28.85
10.75,74.48,70.1,55.7,25.12
10.77,74.53,61.81,56.29,26.15
10.78,74.67,64.31,55.48,27.14
10.8,74.64,66.77,55.99,28.06
10.82,74.53,69.21,56.43,26.55
10.83,74.71,65.53,54.95,27.59
10.85,74.68,67.99,55.46,28.84
10.87,74.6,70.41,55.92,24.79
10.88,74.52,60.47,56.38,25.77
10.9,74.63,62.95,55.07,26.81
10.92,74.57,65.37,55.56,27.82
10.93,74.68,67.85,56.2,28.58
10.95,74.56,70.28,55.6,24.83
10.97,74.62,61.06,56.2,25.67
10.98,74.63,63.55,55.73,26.98
11.0,74.61,65.99,56.25,28.17
11.02,74.62,68.43,55.51,28.04
11.03,74.68,68.7,56.12,27.68
11.05,74.56,67.51,55.92,28.49
11.07,74.68,70.01,56.58,25.28
11.08,74.73,62.18,54.19,26.35
11.1,74.7,64.62,54.7,27.42
11.12,74.67,67.06,55.21,28.61
11.13,74.58,69.47,55.65,26.07
11.15,74.49,64.38,56.11,27.19
11.17,74.53,66.86,56.13,28.33
11.18,74.54,69.31,56.01,26.55
11.2,74.68,65.09,56.64,27.84
11.22,74.59,67.49,53.8,28.82
11.23,74.45,69.88,54.19,25.48
11.25,74.51,62.72,54.8,26.51
11.27,74.63,65.22,55.46,27.53
11.28,74.66,67.7,56.04,28.65
11.3,74.6,70.13,56.31,25.19
11.32,74.58,61.65,55.24,26.1
11.33,74.61,64.12,55.81,27.19
11.35,74.65,66.58,56.38,28.21
11.37,74.66,69.04,54.99,27.18
11.38,74.63,66.13,55.49,28.08
11.4,74.65,68.59,56.05,27.89
11.42,74.71,68.02,56.39,28.78
11.43,74.58,70.33,54.8,24.91
11.45,74.59,60.82,55.34,25.9
11.47,74.75,63.32,56.05,26.86
11.48,74.69,65.75,56.27,27.76
11.5,74.55,68.17,55.28,28.5
11.52,74.5,69.74,55.77,25.7
11.53,74.61,63.32,56.43,26.94
11.55,74.5,65.73,54.66,27.66
11.57,74.61,68.23,55.31,28.59
11.58,74.51,69.46,55.74,26.38
