Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
2.8,75.24,54.47,56.67,10.49
2.82,75.2,60.19,54.46,11.46
2.83,75.43,66.01,55.95,12.58
2.85,75.45,71.71,57.23,10.22
2.87,75.31,58.34,52.03,11.09
2.88,75.44,64.15,53.43,12.14
2.9,75.34,69.87,54.6,11.43
2.92,75.47,66.08,56.0,12.62
2.93,75.32,71.71,57.09,10.27
2.95,75.33,58.36,52.76,11.24
2.97,75.49,64.09,54.17,12.11
2.98,75.28,69.78,55.22,11.53
3.0,75.33,66.42,56.54,12.66
3.02,75.36,72.11,55.05,9.9
3.03,75.46,56.79,56.41,10.81
3.05,75.45,62.56,55.57,11.9
3.07,75.47,68.29,56.85,12.67
3.08,75.37,72.49,53.65,9.62
3.1,75.32,55.17,54.86,10.69
3.12,75.24,60.83,56.02,11.57
3.13,75.3,66.6,57.25,12.53
3.15,75.35,72.38,52.15,9.68
3.17,75.48,55.69,53.55,10.76
3.18,75.39,61.36,54.72,11.65
3.2,75.36,67.1,55.95,12.71
3.22,75.43,72.84,57.28,9.37
3.23,75.29,53.7,51.83,10.34
3.25,75.33,59.45,53.14,11.35
3.27,75.37,65.2,54.43,12.41
3.28,75.55,70.96,55.87,10.7
3.3,75.56,61.52,57.14,11.82
3.32,75.46,67.16,52.44,12.75
3.33,75.38,72.83,53.61,9.37
3.35,75.34,53.78,54.83,10.46
3.37,75.31,59.44,56.05,11.4
3.38,75.27,65.14,57.01,12.34
3.4,75.53,70.95,53.36,10.73
3.42,75.42,61.51,54.5,11.83
3.43,75.37,67.16,55.7,12.68
3.45,75.49,72.94,57.08,9.32
3.47,75.3,53.25,52.61,10.34
3.48,75.29,58.94,53.85,11.29
3.5,75.29,64.66,55.11,12.27
3.52,75.33,70.4,56.41,11.13
3.53,75.43,63.85,55.66,12.18
3.55,75.4,69.54,56.89,11.74
3.57,75.49,67.39,53.68,12.72
3.58,75.33,73.08,54.78,9.21
3.6,75.36,52.75,56.06,10.23
3.62,75.45,58.48,57.1,11.19
3.63,75.42,64.2,52.69,12.18
3.65,75.43,69.93,53.96,11.44
3.67,75.44,65.77,55.23,12.43
3.68,75.58,71.55,56.63,10.22
3.7,75.32,59.03,54.41,11.27
3.72,75.25,64.75,55.61,12.3
3.73,75.36,70.51,56.98,11.07
3.75,75.36,63.35,53.2,12.02
3.77,75.44,69.11,54.55,12.02
3.78,75.53,69.18,55.9,11.95
3.8,75.31,68.82,56.94,12.26
3.82,75.37,70.36,53.44,11.19
3.83,75.48,64.0,54.81,12.11
3.85,75.43,69.73,56.02,11.65
3.87,75.4,66.55,57.15,12.66
3.88,75.46,72.26,52.56,9.76
3.9,75.42,56.14,53.78,10.81
3.92,75.25,61.8,54.87,11.78
3.93,75.41,67.57,56.29,12.84
3.95,75.52,73.3,56.17,9.08
3.97,75.44,51.78,56.46,10.09
3.98,90.41,90.12,100.41,0.2
4.0,90.32,90.1,100.32,0.21
4.02,90.37,90.11,100.37,0.21
4.03,90.4,90.12,100.4,0.2
4.05,90.42,90.12,100.42,0.21
4.07,90.34,90.1,100.34,0.21
4.08,90.39,90.12,100.39,0.2
4.1,90.41,90.12,100.41,0.2
4.12,90.44,90.13,100.44,0.21
4.13,90.29,90.09,100.29,0.21
4.15,90.39,90.12,100.39,0.21
4.17,90.36,90.11,100.36,0.21
4.18,90.44,90.13,100.44,0.2
4.2,90.52,90.16,100.52,0.21
4.22,90.47,90.14,100.47,0.21
4.23,90.38,90.11,100.38,0.21
4.25,90.44,90.13,100.44,0.21
4.27,90.47,90.14,100.47,0.21
4.28,90.54,90.16,100.54,0.21
4.3,90.34,90.1,100.34,0.21
4.32,90.35,90.11,100.35,0.21
4.33,90.43,90.13,100.43,0.2
4.35,90.35,90.1,100.35,0.2
4.37,90.42,90.13,100.42,0.21
4.38,90.32,90.09,100.32,0.21
4.4,90.41,90.12,100.41,0.21
4.42,90.41,90.12,100.41,0.21
4.43,90.43,90.13,100.43,0.21
4.45,90.46,90.14,100.46,0.21
4.47,90.5,90.15,100.5,0.21
4.48,90.4,90.12,100.4,0.21
4.5,90.47,90.14,100.47,0.2
4.52,90.27,90.08,100.27,0.21
4.53,90.41,90.12,100.41,0.21
4.55,90.38,90.11,100.38,0.21
4.57,90.35,90.11,100.35,0.2
4.58,90.22,90.07,100.22,0.21
4.6,90.36,90.11,100.36,0.21
4.62,90.44,90.13,100.44,0.21
4.63,90.47,90.14,100.47,0.21
4.65,90.48,90.15,100.48,0.2
4.67,90.36,90.11,100.36,0.21
4.68,90.26,90.08,100.26,0.21
4.7,90.43,90.13,100.43,0.21
4.72,90.41,90.12,100.41,0.21
4.73,90.38,90.12,100.38,0.21
4.75,90.38,90.12,100.38,0.2
4.77,90.26,90.08,100.26,0.21
4.78,90.28,90.08,100.28,0.2
4.8,90.22,90.07,100.22,0.21
4.82,90.4,90.12,100.4,0.21
4.83,90.33,90.1,100.33,0.21
4.85,90.32,90.1,100.32,0.21
4.87,90.39,90.12,100.39,0.21
4.88,90.51,90.15,100.51,0.21
4.9,90.44,90.13,100.44,0.21
4.92,90.48,90.14,100.48,0.21
4.93,90.5,90.15,100.5,0.2
4.95,90.39,90.12,100.39,0.2
4.97,90.39,90.12,100.39,0.2
4.98,90.43,90.13,100.43,0.21
5.0,90.42,90.13,100.42,0.21
5.02,90.38,90.11,100.38,0.21
5.03,90.49,90.15,100.49,0.21
5.05,90.47,90.14,100.47,0.21
5.07,90.32,90.1,100.32,0.21
5.08,90.3,90.09,100.3,0.21
5.1,90.32,90.1,100.32,0.21
5.12,90.38,90.11,100.38,0.2
5.13,90.29,90.09,100.29,0.21
5.15,90.21,90.06,100.21,0.21
5.17,90.37,90.11,100.37,0.21
5.18,90.31,90.09,100.31,0.21
5.2,90.25,90.08,100.25,0.2
5.22,90.46,90.14,100.46,0.21
5.23,90.54,90.16,100.54,0.21
5.25,90.25,90.07,100.25,0.21
5.27,90.47,90.14,100.47,0.21
5.28,90.44,90.13,100.44,0.21
5.3,90.24,90.07,100.24,0.2
5.32,90.32,90.1,100.32,0.21
5.33,90.23,90.07,100.23,0.21
5.35,90.25,90.07,100.25,0.2
5.37,90.32,90.1,100.32,0.2
5.38,90.42,90.13,100.42,0.21
5.4,90.48,90.14,100.48,0.2
5.42,90.29,90.09,100.29,0.2
5.43,90.37,90.11,100.37,0.21
5.45,90.27,90.08,100.27,0.21
5.47,90.33,90.1,100.33,0.21
5.48,90.46,90.14,100.46,0.21
5.5,90.27,90.08,100.27,0.21
5.52,90.37,90.11,100.37,0.21
5.53,90.42,90.13,100.42,0.21
5.55,90.37,90.11,100.37,0.21
5.57,90.25,90.08,100.25,0.21
5.58,90.23,90.07,100.23,0.21
5.6,90.34,90.1,100.34,0.21
5.62,90.24,90.07,100.24,0.21
5.63,90.34,90.1,100.34,0.21
5.65,90.39,90.12,100.39,0.21
5.67,90.32,90.1,100.32,0.21
5.68,90.38,90.12,100.38,0.2
5.7,90.33,90.1,100.33,0.21
5.72,90.27,90.08,100.27,0.2
5.73,90.32,90.1,100.32,0.21
5.75,90.37,90.11,100.37,0.21
5.77,90.2,90.06,100.2,0.21
5.78,90.31,90.09,100.31,0.21
5.8,90.25,90.08,100.25,0.21
5.82,90.23,90.07,100.23,0.21
5.83,90.47,90.14,100.47,0.21
5.85,90.29,90.09,100.29,0.21
5.87,90.26,90.08,100.26,0.2
5.88,90.21,90.06,100.21,0.2
5.9,90.28,90.08,100.28,0.21
5.92,90.28,90.08,100.28,0.21
5.93,90.17,90.05,100.17,0.21
5.95,90.17,90.05,100.17,0.21
5.97,90.33,90.1,100.33,0.21
5.98,90.19,90.06,100.19,0.21
6.0,90.44,90.13,100.44,0.2
6.02,89.22,88.6,97.29,0.2
6.03,88.31,87.16,94.45,0.2
6.05,87.1,85.63,91.3,0.2
6.07,86.3,84.22,88.56,1.16
6.08,85.24,82.74,85.58,2.24
6.1,84.25,81.28,82.65,3.29
6.12,83.15,79.78,79.62,4.37
6.13,82.16,78.32,76.7,5.44
6.15,81.24,76.87,73.84,6.47
6.17,80.08,75.36,70.75,7.54
6.18,79.25,73.94,67.98,8.69
6.2,78.3,72.49,65.1,9.62
6.22,77.31,71.03,62.17,10.73
6.23,76.35,69.57,59.28,11.81
6.25,75.13,68.04,56.13,12.8
6.27,75.25,73.62,56.84,8.8
6.28,75.36,50.56,53.91,9.73
6.3,75.29,56.32,55.11,10.89
6.32,75.24,61.99,56.31,11.82
6.33,75.15,67.68,55.89,12.86
6.35,75.24,73.41,57.24,8.95
6.37,75.19,51.38,52.09,9.96
6.38,75.14,57.1,53.29,10.94
6.4,75.11,62.83,54.53,12.02
6.42,75.29,68.58,55.96,12.37
6.43,75.21,71.34,57.15,10.47
6.45,75.19,59.93,52.5,11.48
6.47,75.22,65.65,53.78,12.5
6.48,75.24,71.36,55.05,10.56
6.5,75.33,59.81,56.39,11.35
6.52,75.13,65.51,55.45,12.48
6.53,75.26,71.26,56.84,10.53
6.55,75.24,60.25,53.77,11.43
6.57,75.07,65.97,54.87,12.49
6.58,75.19,71.74,56.25,10.17
6.6,75.19,58.29,56.23,11.15
6.62,75.21,64.03,56.33,12.21
6.63,75.06,69.69,55.75,11.78
6.65,75.25,66.75,57.19,12.71
6.67,75.17,72.42,52.25,9.66
6.68,75.23,55.5,53.57,10.72
6.7,75.07,61.16,54.67,11.62
6.72,75.18,66.95,56.05,12.72
6.73,75.18,72.65,57.04,9.51
6.75,75.21,54.54,53.0,10.53
6.77,75.14,60.24,54.19,11.6
6.78,75.12,65.91,55.41,12.52
6.8,75.15,71.64,56.71,10.29
6.82,75.12,58.66,54.29,11.21
6.83,75.17,64.41,55.6,12.28
6.85,75.16,70.11,56.84,11.29
6.87,75.07,65.02,53.72,12.34
6.88,75.13,70.77,55.03,10.87
6.9,75.14,62.29,56.3,11.9
6.92,75.15,68.01,56.03,12.96
6.93,75.25,73.67,57.23,8.75
6.95,75.08,50.28,52.02,9.77
6.97,75.0,55.98,53.2,10.81
6.98,75.1,61.72,54.55,11.82
7.0,75.0,67.39,55.7,12.84
7.02,75.18,73.14,57.13,9.19
7.03,74.96,52.42,52.37,10.19
7.05,75.13,58.17,53.8,11.17
7.07,75.16,63.89,55.08,12.13
7.08,75.24,69.65,56.43,11.71
7.1,75.02,66.83,55.26,12.64
7.12,75.23,72.64,56.73,9.51
7.13,75.12,54.53,54.14,10.49
7.15,75.23,60.31,55.51,11.63
7.17,75.14,65.95,56.67,12.51
7.18,75.21,71.69,54.56,10.32
7.2,75.17,58.41,55.76,11.27
7.22,75.01,64.05,56.86,12.12
7.23,75.19,69.86,53.89,11.57
7.25,75.15,66.01,55.11,12.52
7.27,75.01,71.69,56.23,10.29
7.28,75.1,58.47,56.39,11.16
7.3,75.1,64.23,55.65,12.35
7.32,75.19,69.91,56.98,11.45
7.33,75.04,65.82,53.07,12.55
7.35,75.17,71.55,54.45,10.23
7.37,75.18,59.12,55.73,11.3
7.38,75.19,64.86,57.01,12.26
7.4,74.96,70.55,52.86,10.96
7.42,75.16,63.3,54.33,12.08
7.43,75.05,68.97,55.48,12.15
7.45,74.89,69.69,56.58,11.56
7.47,75.06,66.86,55.05,12.77
7.48,75.09,72.54,56.33,9.58
7.5,75.1,55.0,55.91,10.64
7.52,75.1,60.71,57.17,11.57
7.53,74.9,66.38,52.23,12.7
7.55,75.06,72.11,53.63,9.91
7.57,75.0,56.74,54.84,10.87
7.58,74.97,62.47,56.07,11.92
7.6,75.05,68.22,57.05,12.73
7.62,75.14,72.83,53.01,9.35
7.63,74.98,53.77,54.12,10.37
7.65,75.09,59.54,55.49,11.37
7.67,75.19,65.31,56.85,12.43
7.68,75.07,70.98,53.63,10.76
7.7,75.17,61.43,54.99,11.78
7.72,75.03,67.08,56.1,12.69
7.73,74.97,72.8,56.78,9.42
7.75,74.95,53.9,54.02,10.4
7.77,74.97,59.64,55.31,11.55
7.78,75.04,65.31,56.62,12.33
7.8,74.8,71.01,54.47,10.81
7.82,75.07,61.32,55.98,11.73
7.83,75.05,67.03,57.22,12.64
7.85,74.96,72.76,52.14,9.47
7.87,74.98,54.06,53.42,10.49
7.88,75.13,59.8,54.82,11.41
7.9,74.98,65.5,55.93,12.58
7.92,75.03,71.17,57.23,10.67
7.93,75.08,60.6,52.21,11.57
7.95,74.86,66.27,53.26,12.55
7.97,75.08,72.08,54.74,9.94
7.98,74.77,56.77,55.69,10.94
8.0,75.07,62.58,57.24,11.85
8.02,75.05,68.34,52.13,12.68
8.03,74.99,72.28,53.34,9.8
8.05,74.99,56.05,54.59,10.78
8.07,74.89,61.76,55.75,11.8
8.08,74.98,67.5,57.1,12.87
8.1,74.96,73.18,52.69,9.22
8.12,74.95,52.29,53.92,10.09
8.13,74.97,58.04,55.21,11.15
8.15,75.07,63.8,56.57,12.16
8.17,75.0,69.49,54.84,11.77
8.18,75.0,67.59,56.1,12.78
8.2,74.91,73.3,56.75,8.99
8.22,74.93,51.9,54.2,10.07
8.23,74.95,57.62,55.48,11.02
8.25,74.86,63.35,56.65,11.98
8.27,74.94,69.15,54.67,12.14
8.28,75.0,68.95,55.98,12.25
8.3,74.84,69.72,57.08,11.61
8.32,74.79,66.63,52.75,12.64
8.33,74.81,72.37,54.03,9.75
8.35,75.03,55.73,55.51,10.76
8.37,74.83,61.38,56.56,11.77
8.38,74.83,67.09,54.95,12.67
8.4,75.02,72.9,56.4,9.3
8.42,74.96,53.5,55.55,10.38
8.43,74.79,59.15,56.64,11.33
8.45,74.98,64.94,54.81,12.26
8.47,74.74,70.64,55.84,11.02
8.48,74.87,62.84,57.22,11.9
8.5,74.9,68.62,52.26,12.35
8.52,74.92,71.21,53.55,10.61
8.53,74.97,60.46,54.86,11.56
8.55,74.77,66.12,55.91,12.71
8.57,74.75,71.77,57.14,10.22
8.58,74.98,58.2,52.77,11.11
8.6,74.98,63.95,54.04,12.25
8.62,74.98,69.64,55.29,11.79
8.63,74.8,66.85,56.37,12.69
8.65,74.87,72.59,55.79,9.61
8.67,74.84,54.74,57.01,10.51
8.68,74.96,60.54,53.22,11.63
8.7,74.82,66.2,54.34,12.54
8.72,74.9,71.96,55.68,10.01
8.73,74.8,57.36,56.84,10.91
8.75,74.8,63.15,53.81,12.01
8.77,74.88,68.92,55.15,12.2
8.78,74.81,69.91,56.35,11.45
8.8,74.99,65.93,55.99,12.44
8.82,74.8,71.63,57.07,10.25
8.83,74.83,58.76,52.87,11.32
8.85,74.93,64.49,54.23,12.26
8.87,74.94,70.22,55.5,11.35
8.88,74.79,64.48,56.6,12.25
8.9,75.06,70.3,55.06,11.08
8.92,74.9,64.25,56.17,12.2
8.93,74.92,70.0,56.58,11.51
8.95,74.84,65.41,54.78,12.42
8.97,74.8,71.13,56.0,10.64
8.98,74.8,60.79,57.26,11.56
9.0,74.71,66.53,51.98,12.72
9.02,75.0,72.3,53.52,9.79
9.03,74.84,55.91,54.62,10.86
9.05,74.88,61.6,55.9,11.82
9.07,74.75,67.26,57.02,12.75
9.08,74.62,72.95,52.93,9.33
9.1,74.89,53.36,54.45,10.32
9.12,74.77,59.06,55.59,11.43
9.13,74.85,64.75,56.92,12.29
9.15,74.71,70.45,53.33,11.08
9.17,74.83,63.67,54.71,12.15
9.18,74.84,69.39,55.98,11.93
9.2,74.78,67.94,57.17,12.83
9.22,74.76,73.69,52.42,8.81
9.23,74.77,50.21,53.69,9.84
9.25,74.87,55.93,55.03,10.8
9.27,74.84,61.63,56.26,11.83
9.28,74.84,67.33,56.18,12.88
9.3,74.75,72.97,56.41,9.29
9.32,74.89,53.26,55.71,10.37
9.33,74.82,58.93,56.9,11.33
9.35,74.88,64.65,53.59,12.3
9.37,74.77,70.35,54.74,11.2
9.38,74.7,64.0,55.93,12.19
9.4,74.93,69.79,57.42,11.65
9.42,74.77,66.26,51.24,12.63
9.43,74.64,71.92,52.36,10.11
9.45,74.77,57.55,53.74,11.16
9.47,74.77,63.22,54.99,12.1
9.48,74.85,68.94,56.32,12.14
9.5,74.62,69.81,55.72,11.6
9.52,74.85,66.32,57.2,12.63
9.53,74.56,71.94,52.01,10.15
9.55,74.83,57.48,53.53,11.07
9.57,74.76,63.17,54.72,12.02
9.58,74.79,68.92,56.02,12.21
9.6,74.72,69.91,57.1,11.5
9.62,74.8,65.88,52.8,12.59
9.63,74.68,71.53,53.94,10.41
9.65,74.75,59.13,55.25,11.34
9.67,74.72,64.85,56.48,12.31
9.68,74.67,70.58,55.24,11.11
9.7,74.8,63.07,56.61,11.95
9.72,74.72,68.81,54.68,12.28
9.73,74.61,70.35,55.83,11.18
9.75,74.75,64.08,57.23,12.13
9.77,74.71,69.83,52.15,11.62
9.78,74.86,66.19,53.56,12.66
9.8,74.84,71.87,54.78,10.14
9.82,74.9,57.73,56.1,11.15
9.83,74.7,63.36,56.63,12.1
9.85,74.61,69.05,54.57,12.28
9.87,74.77,69.37,55.97,11.76
9.88,74.62,68.1,57.1,12.73
9.9,74.63,73.36,52.74,9.02
9.92,74.76,51.64,54.13,10.01
9.93,74.72,57.38,55.35,11.09
9.95,74.57,63.02,56.46,12.12
9.97,74.68,68.73,55.45,12.37
9.98,74.72,70.73,56.76,10.93
10.0,74.67,62.43,54.07,12.04
10.02,74.75,68.12,55.39,12.85
10.03,74.63,73.17,56.53,9.22
10.05,74.69,52.36,55.12,10.17
10.07,74.64,58.06,56.33,11.16
10.08,74.78,63.83,56.04,12.14
10.1,74.81,69.57,57.12,11.8
10.12,74.72,67.19,52.54,12.77
10.13,74.6,72.88,53.68,9.41
10.15,74.76,53.6,55.09,10.34
10.17,74.64,59.31,56.24,11.34
10.18,74.69,65.08,56.33,12.44
10.2,74.63,70.76,55.83,10.97
10.22,74.72,62.32,57.17,11.9
10.23,74.57,68.0,52.27,12.92
10.25,74.8,73.78,53.76,8.7
10.27,74.78,49.87,55.01,9.71
10.28,74.57,55.54,56.06,10.7
10.3,74.73,61.32,57.17,11.78
10.32,74.82,67.04,52.51,12.75
10.33,74.57,72.68,53.51,9.48
10.35,74.52,54.42,54.73,10.49
10.37,74.68,60.21,56.16,11.58
10.38,74.84,65.96,56.75,12.54
10.4,74.73,71.65,54.05,10.22
10.42,74.8,58.7,55.39,11.27
10.43,74.67,64.38,56.52,12.22
10.45,74.65,70.12,55.09,11.35
10.47,74.7,65.0,56.41,12.4
10.48,74.53,70.66,55.39,11.02
10.5,74.74,62.78,56.85,12.04
10.52,74.62,68.44,53.63,12.69
10.53,74.69,71.88,54.95,10.13
10.55,74.58,57.65,56.09,11.04
10.57,74.64,63.42,56.96,12.16
10.58,74.57,69.09,53.21,12.17
10.6,74.68,69.22,54.57,12.04
10.62,74.55,68.64,55.7,12.41
10.63,74.79,71.17,57.2,10.58
10.65,74.83,60.66,52.35,11.58
10.67,74.53,66.31,53.32,12.59
10.68,74.61,72.06,54.65,10.0
10.7,74.62,56.95,55.92,11.06
10.72,74.69,62.64,57.24,11.98
10.73,74.86,68.41,52.3,12.56
10.75,74.66,71.99,53.37,10.06
10.77,74.73,57.24,54.69,11.02
10.78,74.62,62.93,55.84,12.13
10.8,74.66,68.61,57.13,12.49
10.82,74.52,71.15,52.45,10.68
10.83,74.51,60.68,53.69,11.63
10.85,74.75,66.48,55.19,12.68
10.87,74.52,72.11,56.22,9.92
10.88,74.51,56.76,56.33,10.9
10.9,74.51,62.5,55.9,11.98
10.92,74.63,68.25,57.29,12.73
10.93,74.67,72.69,51.97,9.48
10.95,74.59,54.36,53.15,10.57
10.97,74.77,60.11,54.58,11.56
10.98,74.54,65.74,55.61,12.49
11.0,74.59,71.49,56.92,10.38
11.02,74.55,59.3,53.42,11.46
11.03,74.64,65.01,54.76,12.42
11.05,74.65,70.71,56.02,11.01
11.07,74.64,62.5,57.16,12.0
11.08,74.53,68.16,52.36,12.74
11.1,74.67,73.13,53.76,9.18
11.12,74.65,52.55,55.01,10.27
11.13,74.6,58.21,56.2,11.2
11.15,74.75,63.98,56.59,12.1
11.17,74.73,69.74,54.8,11.64
11.18,74.58,66.5,55.92,12.67
11.2,74.52,72.19,57.12,9.93
11.22,74.58,56.41,52.68,10.97
11.23,74.56,62.07,53.91,11.94
11.25,74.74,67.81,55.34,12.8
11.27,74.49,73.49,56.35,8.98
11.28,74.81,51.13,56.13,9.99
11.3,74.78,56.81,56.68,10.92
11.32,74.57,62.48,54.25,11.9
11.33,74.66,68.25,55.6,12.72
11.35,74.49,72.64,56.7,9.54
11.37,74.5,54.58,54.38,10.6
11.38,74.65,60.33,55.78,11.65
11.4,74.43,65.94,56.81,12.54
11.42,74.69,71.74,54.17,10.28
11.43,74.62,58.22,55.36,11.24
11.45,74.55,63.89,56.53,12.24
11.47,74.6,69.61,55.12,11.79
11.48,74.52,67.02,56.29,12.74
11.5,74.71,72.8,56.25,9.45
11.52,74.59,53.85,56.11,10.42
11.53,74.64,59.6,56.86,11.48
11.55,74.6,65.28,53.66,12.41
11.57,74.55,71.0,54.87,10.73
11.58,74.6,61.36,56.18,11.73
